t	h	T	H2	H	O	O2	OH	H2O	H2O2	H02	masa
0	1e-011	6000	100000000	0	0	100000000	0	100000000	0	0	1
1e-008	1e-011	300	92257510.94	11276461.7	1066794.538	97106731.48	5230878.747	32866363.88	38.16091867	4.833971127	0.76932168
2e-008	1e-011	300	90940273.69	15459615.13	1092282.809	97295925.4	5971743.481	6314904.323	68.6836292	5.312038285	0.6813518129
3e-008	1e-011	300	89623805.13	20133713.87	1136773.836	97467545.52	7237393.663	-10799356.02	92.4578651	5.972907895	0.6278191039
4e-008	1e-011	300	88304078.11	25094201.77	1181054.804	97640374.24	8778507.263	-22361267.46	113.3841156	6.785527287	0.5944726619
5e-008	1e-011	300	86978388.3	30287484.82	1222239.524	97817052.41	10531288.17	-30547573.58	132.6327165	7.730837048	0.573562981
6e-008	1e-011	300	85645478.85	35688820.75	1260807.729	97996929.05	12470123.99	-36586793.95	150.698886	8.792870302	0.5607448193
7e-008	1e-011	300	84304959.55	41281387.33	1297850.176	98178788.02	14580094.59	-41189121.36	167.8351083	9.957259011	0.5535028493
7.908200998e-008	1e-011	300	83080971.66	46514536.31	1331024.163	98344737.21	16635091.04	-44480432.49	182.7159256	11.09235619	0.5504863069
8.008307135e-008	1e-011	300	82945686.19	47099950.39	1334695.577	98363029.99	16869416.73	-44801245	184.3193718	11.22155031	0.5503262493
8.108584779e-008	1e-011	300	82810096.74	47688018.42	1338375.466	98381354.86	17105643.18	-45115026.36	185.9186741	11.35173841	0.5501973697
8.209029248e-008	1e-011	300	82674209.71	48278709.38	1342064.363	98399710.19	17343757.49	-45421912.03	187.5137952	11.4829066	0.550099145
8.309636e-008	1e-011	300	82538031.32	48871992.69	1345762.786	98418094.43	17583746.77	-45722031.93	189.1046999	11.61504101	0.5500310719
8.410400626e-008	1e-011	300	82401567.66	49467838.29	1349471.24	98436506.06	17825598.16	-46015510.67	190.6913544	11.74812782	0.5499926654
8.51131884e-008	1e-011	300	82264824.65	50066216.5	1353190.215	98454943.62	18069298.77	-46302467.63	192.2737266	11.88215322	0.5499834592
8.612386478e-008	1e-011	300	82127808.11	50667098.07	1356920.188	98473405.65	18314835.73	-46583017.19	193.8517857	12.01710346	0.5500030044
8.713599485e-008	1e-011	300	81990523.69	51270454.14	1360661.621	98491890.78	18562196.18	-46857268.85	195.4255025	12.15296481	0.5500508692
8.814953916e-008	1e-011	300	81852976.93	51876256.22	1364414.961	98510397.64	18811367.21	-47125327.41	196.994849	12.28972357	0.5501266383
8.916445926e-008	1e-011	300	81715173.27	52484476.14	1368180.64	98528924.91	19062335.94	-47387293.1	198.5597987	12.4273661	0.5502299124
9.018071769e-008	1e-011	300	81577118.02	53095086.07	1371959.076	98547471.33	19315089.46	-47643261.77	200.1203261	12.56587878	0.5503603074
9.119827787e-008	1e-011	300	81438816.39	53708058.5	1375750.672	98566035.63	19569614.83	-47893325.02	201.6764069	12.70524804	0.5505174542
9.221710412e-008	1e-011	300	81300273.49	54323366.19	1379555.817	98584616.61	19825899.13	-48137570.33	203.2280181	12.84546034	0.550700998
9.323716158e-008	1e-011	300	81161494.33	54940982.19	1383374.886	98603213.09	20083929.38	-48376081.25	204.7751376	12.98650219	0.5509105979
9.425841616e-008	1e-011	300	81022483.84	55560879.8	1387208.239	98621823.92	20343692.61	-48608937.49	206.3177444	13.12836015	0.5511459261
9.528083454e-008	1e-011	300	80883246.85	56183032.57	1391056.22	98640447.99	20605175.79	-48836215.1	207.8558184	13.27102081	0.5514066679
9.630438409e-008	1e-011	300	80743788.12	56807414.28	1394919.162	98659084.21	20868365.92	-49057986.57	209.3893406	13.41447083	0.5516925206
9.732903287e-008	1e-011	300	80604112.32	57433998.93	1398797.383	98677731.53	21133249.91	-49274320.99	210.9182929	13.55869688	0.5520031936
9.835474957e-008	1e-011	300	80464224.06	58062760.74	1402691.186	98696388.91	21399814.7	-49485284.17	212.442658	13.70368571	0.5523384079
9.938150349e-008	1e-011	300	80324127.86	58693674.11	1406600.861	98715055.37	21668047.17	-49690938.74	213.9624195	13.8494241	0.552697895
1.004092645e-007	1e-011	300	80183828.2	59326713.62	1410526.687	98733729.92	21937934.18	-49891344.29	215.4775617	13.9958989	0.5530813975
1.014380031e-007	1e-011	300	80043329.48	59961854.05	1414468.927	98752411.63	22209462.56	-50086557.49	216.9880698	14.14309699	0.5534886679
1.024676901e-007	1e-011	300	79902636.03	60599070.33	1418427.833	98771099.55	22482619.11	-50276632.2	218.4939299	14.29100532	0.5539194685
1.03498297e-007	1e-011	300	79761752.14	61238337.54	1422403.642	98789792.81	22757390.6	-50461619.58	219.9951285	14.43961086	0.5543735709
1.045297958e-007	1e-011	300	79620682.04	61879630.93	1426396.581	98808490.52	23033763.78	-50641568.18	221.4916531	14.58890069	0.5548507558
1.055621588e-007	1e-011	300	79479429.89	62522925.86	1430406.864	98827191.82	23311725.35	-50816524.05	222.9834918	14.73886188	0.5553508127
1.065953588e-007	1e-011	300	79337999.83	63168197.86	1434434.694	98845895.89	23591262	-50986530.87	224.4706332	14.88948162	0.555873539
1.076293689e-007	1e-011	300	79196395.94	63815422.55	1438480.259	98864601.93	23872360.38	-51151630	225.9530669	15.0407471	0.5564187406
1.086641628e-007	1e-011	300	79054622.24	64464575.68	1442543.74	98883309.13	24155007.1	-51311860.59	227.4307826	15.1926456	0.5569862304
1.096997144e-007	1e-011	300	78912682.73	65115633.12	1446625.303	98902016.72	24439188.75	-51467259.69	228.9037712	15.34516445	0.5575758292
1.10735998e-007	1e-011	300	78770581.36	65768570.84	1450725.107	98920723.97	24724891.89	-51617862.31	230.3720237	15.49829104	0.5581873644
1.117729881e-007	1e-011	300	78628322.03	66423364.89	1454843.296	98939430.13	25012103.04	-51763701.53	231.8355318	15.65201282	0.5588206704
1.128106598e-007	1e-011	300	78485908.63	67079991.44	1458980.007	98958134.49	25300808.7	-51904808.54	233.294288	15.8063173	0.5594755878
1.138489881e-007	1e-011	300	78343344.99	67738426.73	1463135.364	98976836.35	25590995.34	-52041212.76	234.7482849	15.96119205	0.5601519636
1.148879486e-007	1e-011	300	78200634.91	68398647.1	1467309.484	98995535.03	25882649.38	-52172941.9	236.197516	16.1166247	0.5608496505
1.159275171e-007	1e-011	300	78057782.18	69060628.95	1471502.472	99014229.87	26175757.24	-52300022.03	237.641975	16.27260295	0.561568507
1.169676694e-007	1e-011	300	77914790.53	69724348.75	1475714.424	99032920.21	26470305.28	-52422477.66	239.0816562	16.42911456	0.5623083967
1.180083819e-007	1e-011	300	77771663.69	70389783.05	1479945.428	99051605.42	26766279.86	-52540331.79	240.5165544	16.58614735	0.5630691888
1.190496311e-007	1e-011	300	77628405.33	71056908.46	1484195.562	99070284.88	27063667.29	-52653606	241.9466649	16.74368921	0.5638507571
1.200913934e-007	1e-011	300	77485019.14	71725701.65	1488464.894	99088957.97	27362453.86	-52762320.49	243.3719832	16.90172809	0.5646529801
1.211336459e-007	1e-011	300	77341508.73	72396139.35	1492753.485	99107624.12	27662625.82	-52866494.17	244.7925054	17.06025201	0.565475741
1.221763656e-007	1e-011	300	77197877.74	73068198.32	1497061.388	99126282.74	27964169.4	-52966144.69	246.208228	17.21924906	0.5663189271
1.232195296e-007	1e-011	300	77054129.76	73741855.4	1501388.648	99144933.25	28267070.81	-53061288.5	247.6191479	17.37870737	0.5671824298
1.242631154e-007	1e-011	300	76910268.36	74417087.44	1505735.299	99163575.1	28571316.21	-53151940.94	249.0252623	17.53861518	0.5680661446
1.253071005e-007	1e-011	300	76766297.11	75093871.36	1510101.371	99182207.75	28876891.76	-53238116.26	250.426569	17.69896076	0.5689699703
1.263514625e-007	1e-011	300	76622219.53	75772184.1	1514486.886	99200830.66	29183783.57	-53319827.65	251.8230658	17.85973248	0.5698938095
1.273961792e-007	1e-011	300	76478039.15	76452002.65	1518891.855	99219443.3	29491977.74	-53397087.37	253.2147511	18.02091874	0.5708375682
1.284412287e-007	1e-011	300	76333759.48	77133304.01	1523316.288	99238045.17	29801460.32	-53469906.71	254.6016235	18.18250804	0.5718011555
1.294865889e-007	1e-011	300	76189384.01	77816065.23	1527760.182	99256635.76	30112217.35	-53538296.09	255.9836822	18.34448894	0.5727844833
1.30532238e-007	1e-011	300	76044916.21	78500263.37	1532223.531	99275214.57	30424234.86	-53602265.08	257.3609263	18.50685007	0.5737874668
1.315781543e-007	1e-011	300	75900359.55	79185875.51	1536706.322	99293781.13	30737498.81	-53661822.46	258.7333556	18.66958012	0.5748100235
1.32624316e-007	1e-011	300	75755717.48	79872878.77	1541208.534	99312334.95	31051995.17	-53716976.25	260.1009698	18.83266785	0.5758520738
1.336707017e-007	1e-011	300	75610993.44	80561250.28	1545730.142	99330875.56	31367709.88	-53767733.75	261.4637693	18.99610212	0.5769135402
1.347172898e-007	1e-011	300	75466190.87	81250967.16	1550271.112	99349402.51	31684628.84	-53814101.6	262.8217545	19.15987181	0.5779943478
1.357640589e-007	1e-011	300	75321313.18	81942006.58	1554831.408	99367915.34	32002737.93	-53856085.79	264.1749261	19.3239659	0.5790944236
1.368109877e-007	1e-011	300	75176363.79	82634345.7	1559410.984	99386413.61	32322023.01	-53893691.7	265.5232851	19.48837345	0.5802136968
1.378580548e-007	1e-011	300	75031346.1	83327961.68	1564009.792	99404896.88	32642469.91	-53926924.16	266.8668327	19.65308357	0.5813520984
1.389052389e-007	1e-011	300	74886263.52	84022831.7	1568627.777	99423364.72	32964064.44	-53955787.45	268.2055704	19.81808545	0.5825095613
1.39952519e-007	1e-011	300	74741119.44	84718932.95	1573264.878	99441816.7	33286792.38	-53980285.37	269.5394999	19.98336834	0.5836860199
1.409998737e-007	1e-011	300	74595917.23	85416242.59	1577921.031	99460252.41	33610639.48	-54000421.23	270.8686231	20.14892157	0.5848814103
1.42047282e-007	1e-011	300	74450660.29	86114737.81	1582596.163	99478671.43	33935591.48	-54016197.93	272.1929422	20.31473454	0.5860956701
1.430947227e-007	1e-011	300	74305351.99	86814395.79	1587290.202	99497073.36	34261634.08	-54027617.94	273.5124593	20.48079671	0.587328738
1.441421747e-007	1e-011	300	74159995.7	87515193.67	1592003.065	99515457.8	34588752.97	-54034683.37	274.8271772	20.64709764	0.5885805541
1.451896169e-007	1e-011	300	74014594.81	88217108.64	1596734.669	99533824.35	34916933.8	-54037395.96	276.1370983	20.81362692	0.5898510597
1.462370284e-007	1e-011	300	73869152.67	88920117.83	1601484.925	99552172.61	35246162.19	-54035757.16	277.4422257	20.98037424	0.5911401971
1.472843879e-007	1e-011	300	73723672.65	89624198.39	1606253.738	99570502.21	35576423.77	-54029768.09	278.7425623	21.14732934	0.5924479094
1.483316744e-007	1e-011	300	73578158.13	90329327.44	1611041.011	99588812.76	35907704.11	-54019429.62	280.0381113	21.31448205	0.5937741408
1.493788669e-007	1e-011	300	73432612.46	91035482.09	1615846.641	99607103.88	36239988.76	-54004742.38	281.3288762	21.48182225	0.5951188361
1.504259443e-007	1e-011	300	73287039.03	91742639.42	1620670.522	99625375.2	36573263.25	-53985706.76	282.6148603	21.6493399	0.596481941
1.514728854e-007	1e-011	300	73141441.18	92450776.51	1625512.544	99643626.36	36907513.09	-53962322.98	283.8960673	21.81702504	0.5978634014
1.525196692e-007	1e-011	300	72995822.3	93159870.4	1630372.593	99661856.98	37242723.76	-53934591.05	285.172501	21.98486775	0.5992631643
1.535662744e-007	1e-011	300	72850185.76	93869898.12	1635250.55	99680066.7	37578880.71	-53902510.85	286.4441652	22.15285821	0.6006811766
