t	h	T	H2	H	O	O2	OH	H2O	H2O2	H02	masa
0	0	6000	100000000	0	0	100000000	0	100000000	0	0	1
2.451709989e-011	1e-011	5998.287156	99956661.01	267297.142	12657.18947	99990703.16	192480.4909	99813444.35	5.820541946	0.00377194418	1
4.00070423e-011	1e-011	5995.440219	99931513.4	431080.9038	19723.5551	99982534.81	324500.8688	99690685.48	10.22998669	0.0112900216	1
5.905643353e-011	1e-011	5990.068824	99902233.73	627457.1186	27816.02584	99970124.23	495763.7257	99536139.94	15.89913546	0.02696440822	1
8.163145191e-011	1e-011	5981.040076	99868928.19	853477.5387	36925.63431	99952162.06	708788.5587	99349915.89	22.84264875	0.05577366945	1
1.07794188e-010	1e-011	5966.980189	99830843.06	1106988.889	47232.94407	99927119.96	965666.9687	99132797.95	31.01245681	0.1044581378	1
1.37728828e-010	1e-011	5946.193266	99786148.8	1386707.483	59081.39896	99893185.18	1268020.482	98886446.85	40.2780591	0.181908808	1
1.717907548e-010	1e-011	5916.508138	99731678.92	1692315.351	72964.76936	99848123	1617149.949	98613537.88	50.4062684	0.2996605211	1
2.106031396e-010	1e-011	5874.983366	99662492.04	2024702.154	89552.46852	99789002.96	2014445.988	98317872.63	61.03619436	0.4726413749	1
2.552656215e-010	1e-011	5817.285081	99570935.08	2386658.355	109791.7833	99711614.6	2462341.139	98004493.21	71.64001932	0.7206343648	1
2.677731247e-010	1e-011	5799.267776	99542731.34	2484096.917	115683.1226	99688286.85	2584895.137	97922698.02	74.2472993	0.7987750747	1
2.783318157e-010	1e-011	5783.435798	99518004.33	2565015.641	120730.8985	99668063.36	2687153.927	97855834.17	76.31645721	0.8674737414	1
2.893185317e-010	1e-011	5766.363397	99491367.76	2647913.873	126054.1961	99646520.76	2792298.536	97788447.26	78.3379622	0.9414841658	1
3.007738249e-010	1e-011	5747.919147	99462597.39	2732935.099	131679.8293	99623534.31	2900469.413	97720619.59	80.3001031	1.021249011	1
3.127470963e-010	1e-011	5727.946045	99431426.78	2820260.356	137639.8799	99598955	3011846.539	97652437.08	82.18970348	1.107278918	1
3.252998727e-010	1e-011	5706.252593	99397532.96	2910123.925	143973.6417	99572600.95	3126667.297	97583986.9	83.99179758	1.200177285	1
3.385110126e-010	1e-011	5682.598887	99360513.96	3002838.892	150730.7013	99544243.58	3245255.93	97515352.35	85.68918509	1.300680422	1
3.52485584e-010	1e-011	5656.673311	99319851.32	3098841.874	157976.1722	99513584.45	3368075.739	97446601.98	87.26177525	1.409727403	1
3.673715301e-010	1e-011	5628.049663	99274841.06	3198779.196	165800.4646	99480211.91	3495830.963	97377764.49	88.68555658	1.52859379	1.000000001
3.830845067e-010	1e-011	5596.728179	99225445.79	3301686.729	174173.2887	99444228.52	3627133.049	97310053.67	89.909461	1.656627205	1.000000001
3.993943753e-010	1e-011	5563.037025	99172149.94	3405730.235	182982.2914	99406104.03	3759462.479	97245162.03	90.88119692	1.791768446	1.000000001
4.163408472e-010	1e-011	5526.784781	99114623.1	3510886.39	192256.8812	99365709.33	3892592.754	97183544.9	91.57540253	1.933996994	1.000000001
4.339695129e-010	1e-011	5487.756893	99052500.17	3617146.527	202030.8755	99322901.66	4026288.529	97125689.42	91.96602552	2.08323303	1.000000001
4.523325743e-010	1e-011	5445.712255	98985376.64	3724519.09	212343.4286	99277522.93	4160303.312	97072119.15	92.02639398	2.239326527	1.000000001
4.714901907e-010	1e-011	5400.378103	98912801.45	3833035.661	223240.4698	99229396.76	4294380.2	97023397.84	91.7293353	2.40204856	1.000000001
4.915121911e-010	1e-011	5351.44357	98834267.85	3942758.748	234776.5842	99178324.74	4428252.858	96980134.18	91.04731673	2.571082078	1.000000001
5.124802814e-010	1e-011	5298.551425	98749201.8	4053791.879	247017.4944	99124081.5	4561646.717	96942987.76	89.95261161	2.746012149	1.000000001
5.344909295e-010	1e-011	5241.287368	98656946.88	4166292.814	260043.3661	99066408.55	4694280.42	96912676.82	88.4174964	2.926315621	1.000000001
5.576591965e-010	1e-011	5179.16591	98556744.48	4280490.96	273953.2617	99005006.05	4825867.47	96889988.55	86.41448657	3.111350152	1.000000001
5.821239158e-010	1e-011	5111.611447	98447707.37	4396710.647	288871.2271	98939521.92	4956117.961	96875793	83.91662351	3.300342459	1.000000002
6.080548359e-010	1e-011	5037.932377	98328783.76	4515402.664	304954.7434	98869537.19	5084740.176	96871062.43	80.89783236	3.492375601	1.000000002
6.356627022e-010	1e-011	4957.284902	98198707.55	4637187.799	322406.6935	98794545.7	5211441.53	96876898.88	77.3333843	3.686374949	1.000000002
6.646985342e-010	1e-011	4870.186913	98058446.56	4760763.017	341156.0591	98715333.59	5333852.064	96894170.98	73.2749228	3.877815819	1.000000002
6.931464526e-010	1e-011	4782.765578	97917998.75	4877946.605	359951.5243	98637575.86	5443587.965	96921163.18	69.07008069	4.052190138	1.000000002
7.205561156e-010	1e-011	4696.749935	97780229.5	4987743.808	378491.9492	98562687.54	5540327.018	96955668.44	64.87498129	4.207503974	1.000000002
7.469764509e-010	1e-011	4612.3339	97645509.31	5091138.356	396792.1399	98490681.15	5625714.221	96996001.82	60.75691973	4.345330247	1.000000002
7.725660703e-010	1e-011	4529.302172	97513541.77	5189370.823	414942.4615	98421237.95	5701491.48	97040968.46	56.74803504	4.46779869	1.000000002
7.974454474e-010	1e-011	4447.503363	97384127.5	5283378.708	433009.7193	98354122.29	5769006.382	97089625.17	52.87236983	4.576686778	1.000000002
8.217094148e-010	1e-011	4366.826614	97257128.46	5373885.469	451043.8588	98289154.01	5829327.09	97141214.16	49.14768134	4.673516259	1.000000003
8.454277075e-010	1e-011	4287.211724	97132484.5	5461431.19	469076.6437	98226210.48	5883300.325	97195102.17	45.58781709	4.75958769	1.000000003
8.682821562e-010	1e-011	4209.889933	97012137.93	5545071.166	486834.9634	98166175.6	5930876.496	97249843.98	42.25625137	4.834878324	1.000000003
8.902316152e-010	1e-011	4135.155611	96896534.94	5624842.879	504242.9827	98109166.35	5972669.198	97304667.82	39.16551831	4.90049823	1.000000003
9.114414858e-010	1e-011	4062.574324	96784987.44	5701481.873	521388.6706	98054752.11	6009584.37	97359441.09	36.29398473	4.958039858	1.000000003
9.320324982e-010	1e-011	3991.835966	96677008.67	5775513.863	538331.3515	98002623.12	6042294.625	97414051.38	33.62490621	5.008726293	1.000000003
9.520985479e-010	1e-011	3922.702711	96572229.89	5847334.586	555113.3432	97952542.64	6071320.537	97468409.32	31.14432056	5.05353497	1.000000003
9.717165257e-010	1e-011	3854.980833	96470355.37	5917254.828	571766.3913	97904320.89	6097077.145	97522447.7	28.83999734	5.093268325	1.000000003
9.909522391e-010	1e-011	3788.504048	96371136.14	5985528.045	588315.5645	97857799.65	6119902.69	97576119.68	26.70087879	5.128597745	1.000000003
1.009864251e-009	1e-011	3723.12293	96274353.5	6052368.437	604781.7912	97812842.61	6140077.401	97629396.74	24.71676906	5.160092772	1.000000003
1.028506551e-009	1e-011	3658.697707	96179808.14	6117963.461	621183.6231	97769328.95	6157836.282	97682266.97	22.87815595	5.188241583	1.000000003
1.046930551e-009	1e-011	3595.092979	96087312.49	6182482.951	637538.5418	97727148.92	6173378.091	97734733.67	21.17610569	5.213465998	1.000000003
1.065186702e-009	1e-011	3532.173495	95996684.99	6246086.132	653863.995	97686200.59	6186871.769	97786814.3	19.60219901	5.236132887	1.000000003
1.083325929e-009	1e-011	3469.800462	95907745.47	6308927.363	670178.2813	97646387.39	6198461.064	97838540.01	18.14849091	5.256563129	1.000000003
1.101401015e-009	1e-011	3407.827958	95820311.06	6371161.163	686501.3666	97607616.05	6208267.85	97889955.46	16.80748397	5.275038822	1.000000003
1.119468058e-009	1e-011	3346.09916	95734192.29	6432946.98	702855.6989	97569794.92	6216394.41	97941119.27	15.5721097	5.291809239	1.000000003
1.137588123e-009	1e-011	3284.442035	95649188.95	6494454.059	719267.0802	97532832.27	6222924.874	97992104.97	14.43571481	5.307095864	1.000000003
1.155829223e-009	1e-011	3222.664145	95565085.43	6555866.835	735765.6603	97496634.68	6227925.878	98043002.64	13.39205061	5.321096742	1.000000003
1.174268816e-009	1e-011	3160.546096	95481645.17	6617391.286	752387.1276	97461105.25	6231446.464	98093921.34	12.43526506	5.333990357	1.000000003
1.192997067e-009	1e-011	3097.832959	95398603.59	6679262.864	769174.1934	97426141.58	6233517.13	98144992.67	11.559897	5.345939202	1.000000003
1.212121264e-009	1e-011	3034.222714	95315658.95	6741756.849	786178.5099	97391633.31	6234147.867	98196375.74	10.7608731	5.357093213	1.000000003
1.231771979e-009	1e-011	2969.350198	95232460.01	6805202.412	803463.2183	97357458.99	6233324.827	98248264.14	10.03350787	5.367593275	1.000000003
1.252111934e-009	1e-011	2902.764183	95148588.76	6870002.415	821106.4312	97323482.02	6231005.099	98300895.91	9.373507696	5.377575052	1.000000003
1.273349195e-009	1e-011	2833.893592	95063535.81	6936662.268	839206.1181	97289545.07	6227108.621	98354567.77	8.776980155	5.387173538	1.000000003
1.295757527e-009	1e-011	2761.99597	94976663.76	7005833.547	857887.1488	97255462.37	6221505.617	98409656.22	8.240450271	5.39652894	1.000000003
1.319709138e-009	1e-011	2686.075749	94887151.14	7078382.614	877311.7341	97221008.5	6213996.667	98466649.25	7.760885848	5.405794982	1.000000003
1.345729992e-009	1e-011	2604.748521	94793902.95	7155503.555	897695.34	97185902.19	6204280.108	98526195.67	7.335734359	5.415151605	1.000000003
